ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,428.72,64,14.14,786.118,63,16.85,63464500
16384,8192,381.39,64,15.56,684.964,63,18.40,115926068
24576,8192,287.12,64,15.46,787.432,63,18.80,168387636
32768,8192,302.68,64,16.84,376.268,63,18.41,0
