ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,415.03,64,14.24,814.225,63,17.12,63464500
16384,8192,373.46,64,15.23,784.970,63,18.45,115926068
24576,8192,353.96,64,14.34,1033.231,63,18.38,168387636
32768,8192,310.87,64,16.05,362.348,63,17.39,0
