ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,442.02,64,28.95,99.360,63,29.87,349414812
16384,8192,381.68,64,29.60,34.593,63,29.63,545531292
24576,8192,373.58,64,29.44,34.422,63,29.47,741647772
32768,8192,376.03,64,29.27,34.745,63,29.31,0
