ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,419.92,128,15.77,841.85,127,17.53,63464500
16384,8192,381.89,128,16.49,837.8,127,18.39,115926068
24576,8192,353.26,128,16.07,890.26,127,18.16,168387636
32768,8192,335.73,128,16.16,840.9,127,18.07,0
