ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,387.29,128,14.92,835.150,127,16.40,63464500
16384,8192,381.89,128,15.83,837.802,127,17.52,115926068
24576,8192,366.78,128,16.02,890.257,127,17.89,168387636
32768,8192,316.13,128,16.47,743.288,127,18.07,0
