ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,401.18,64,14.74,742.997,63,17.51,63464500
16384,8192,399.30,64,15.75,632.971,63,18.38,115926068
24576,8192,354.48,64,15.10,898.053,63,18.87,168387636
32768,8192,339.77,64,16.37,411.515,63,18.02,0
