ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,428.22,128,15.88,841.852,127,17.59,63464500
16384,8192,398.21,128,16.49,871.000,127,18.43,115926068
24576,8192,353.26,128,16.07,1015.822,127,18.27,168387636
32768,8192,336.53,128,16.06,961.344,127,18.12,0
