ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,384.11,64,14.11,834.506,63,17.03,63464500
16384,8192,381.61,64,15.44,736.261,63,18.50,115926068
24576,8192,361.72,64,14.64,953.211,63,18.44,168387636
32768,8192,325.71,64,16.33,381.907,63,17.82,0
