ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,428.76,64,14.13,792.464,63,16.86,63464500
16384,8192,392.44,64,15.17,728.842,63,18.06,115926068
24576,8192,335.03,64,14.33,1008.217,63,18.23,168387636
32768,8192,332.71,64,16.59,344.382,63,17.94,0
