ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,129.88,64,14.05,904.981,63,17.27,24118324
4096,2048,83.52,64,16.36,139.319,63,16.71,37233716
6144,2048,76.37,64,16.54,140.067,63,16.90,50349108
8192,2048,80.88,64,16.98,135.881,63,17.35,0
