ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,421.88,64,14.14,803.34,63,16.95,63464500
16384,8192,381.5,64,15.34,732.55,63,18.42,115926068
24576,8192,344.5,64,14.49,980.71,63,18.41,168387636
32768,8192,318.29,64,16.46,369.31,63,17.88,0
