ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
8192,8192,419.92,128,15.77,873.374,127,17.53,63464500
16384,8192,362.14,128,16.54,830.846,127,18.39,115926068
24576,8192,345.00,128,16.35,832.946,127,18.16,168387636
32768,8192,335.73,128,16.16,840.898,127,17.94,0
